SMILES,CAS,logP
OC(NS(=O)(=O)C1=CC=C(C=C1)C(O)=C)=NC1CCCCC1,968-81-0,2.44
[H]OC(=NS(=O)(=O)C1=C([H])C([H])=C(C([H])=C1[H])C(O[H])=C([H])[H])N([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],968-81-0,2.44
OC(NC1CCCCC1)=NS(=O)(=O)C1=CC=C(C=C1)C(O)=C,968-81-0,2.44
[H]OC(=NC1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])N([H])S(=O)(=O)C1=C([H])C([H])=C(C([H])=C1[H])C(=O)C([H])([H])[H],968-81-0,2.44
CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(O)=NC1CCCCC1,968-81-0,2.44
[H]OC(=C([H])[H])C1=C([H])C([H])=C(C([H])=C1[H])S(=O)(=O)N([H])C(=O)N([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],968-81-0,2.44
OC(=C)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1,968-81-0,2.44
[H]OC(=NS(=O)(=O)C1=C([H])C([H])=C(C([H])=C1[H])C(=O)C([H])([H])[H])N([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],968-81-0,2.44
CC(=O)C1=CC=C(C=C1)S(=O)(=O)N=C(O)NC1CCCCC1,968-81-0,2.44
[H]N(C(=O)N([H])S(=O)(=O)C1=C([H])C([H])=C(C([H])=C1[H])C(=O)C([H])([H])[H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],968-81-0,2.44
CC(=O)c1ccc(cc1)S(=O)(=O)NC(=O)NC1CCCCC1,968-81-0,2.44
[H]OC(N=C1C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])=NS([H])(=O)(O[H])C1=C([H])C([H])=C(C([H])=C1[H])C(O[H])=C([H])[H],968-81-0,2.44
OC(=C)C1=CC=C(C=C1)S(O)(=O)N=C(O)N=C1CCCCC1,968-81-0,2.44
[H]OC(N=C1C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])=NS([H])(=O)(O[H])C1=C([H])C([H])=C(C([H])=C1[H])C(=O)C([H])([H])[H],968-81-0,2.44
CC(=O)C1=CC=C(C=C1)S(O)(=O)N=C(O)N=C1CCCCC1,968-81-0,2.44
[H]OC(=NC1=C([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])N([H])S([H])(=O)(O[H])C1=C([H])C([H])=C(C([H])=C1[H])C(O[H])=C([H])[H],968-81-0,2.44
OC(=C)C1=CC=C(C=C1)S(O)(=O)NC(O)=NC1=CCCCC1,968-81-0,2.44
[H]OC(=NS([H])(=O)(O[H])C1=C([H])C([H])=C(C([H])=C1[H])C(O[H])=C([H])[H])N([H])C1=C([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],968-81-0,2.44
OC(=C)C1=CC=C(C=C1)S(O)(=O)N=C(O)NC1=CCCCC1,968-81-0,2.44
[H]OC(=NC1=C([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])N([H])S([H])(=O)(O[H])C1=C([H])C([H])=C(C([H])=C1[H])C(=O)C([H])([H])[H],968-81-0,2.44
CC(=O)C1=CC=C(C=C1)S(O)(=O)NC(O)=NC1=CCCCC1,968-81-0,2.44
[H]OC(=NS([H])(=O)(O[H])C1=C([H])C([H])=C(C([H])=C1[H])C(=O)C([H])([H])[H])N([H])C1=C([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],968-81-0,2.44
CC(=O)C1=CC=C(C=C1)S(O)(=O)N=C(O)NC1=CCCCC1,968-81-0,2.44
[H]OC(=NC1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])N=S(=O)(O[H])C1=C([H])C([H])=C(C([H])=C1[H])C(O[H])=C([H])[H],968-81-0,2.44
OC(=C)C1=CC=C(C=C1)S(O)(=O)=NC(O)=NC1CCCCC1,968-81-0,2.44
[H]OC(=NC1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])N=S(=O)(O[H])C1=C([H])C([H])=C(C([H])=C1[H])C(=O)C([H])([H])[H],968-81-0,2.44
CC(=O)C1=CC=C(C=C1)S(O)(=O)=NC(O)=NC1CCCCC1,968-81-0,2.44
[H]OC(=C([H])[H])C1=C([H])C([H])=C(C([H])=C1[H])S(=O)(O[H])=NC(=O)N([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],968-81-0,2.44
CC(=O)C1=CC=C(C=C1)S(O)(=O)=NC(=O)NC1CCCCC1,968-81-0,2.44
[H]OS(=O)(=NC(=O)N([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C1=C([H])C([H])=C(C([H])=C1[H])C(=O)C([H])([H])[H],968-81-0,2.44
[H]OC(=C([H])[H])C1=C([H])C([H])=C(C([H])=C1[H])S([H])(O[H])(O[H])=NC(=O)N=C1C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],968-81-0,2.44
[H]OC(=NC1=C([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])N=S([H])(O[H])(O[H])C1=C([H])C([H])=C(C([H])=C1[H])C(O[H])=C([H])[H],968-81-0,2.44
[H]OC(=C([H])[H])C1=C([H])C([H])=C(C([H])=C1[H])S(=O)(O[H])=NC([H])(O[H])N=C1C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],968-81-0,2.44
[H]OS([H])(O[H])(=NC(=O)N=C1C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C1=C([H])C([H])=C(C([H])=C1[H])C(=O)C([H])([H])[H],968-81-0,2.44
[H]OC(=NC1=C([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])N=S([H])(O[H])(O[H])C1=C([H])C([H])=C(C([H])=C1[H])C(=O)C([H])([H])[H],968-81-0,2.44
[H]OC(=C([H])[H])C1=C([H])C([H])=C(C([H])=C1[H])S([H])(O[H])(O[H])=NC(=O)N([H])C1=C([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],968-81-0,2.44
CC(=O)C1=CC=C(C=C1)S(O)(=O)=NC(O)N=C1CCCCC1,968-81-0,2.44
[H]OC([H])(N=C1C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])N=S(=O)(O[H])C1=C([H])C([H])=C(C([H])=C1[H])C(=O)C([H])([H])[H],968-81-0,2.44
[H]OC(=C([H])[H])C1=C([H])C([H])=C(C([H])=C1[H])S(=O)(O[H])=NC([H])(O[H])N([H])C1=C([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],968-81-0,2.44
[H]OS([H])(O[H])(=NC(=O)N([H])C1=C([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C1=C([H])C([H])=C(C([H])=C1[H])C(=O)C([H])([H])[H],968-81-0,2.44
[H]OC([H])(N=S(=O)(O[H])C1=C([H])C([H])=C(C([H])=C1[H])C(=O)C([H])([H])[H])N([H])C1=C([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],968-81-0,2.44
CN(C)CCCN1c2ccccc2S(=O)c2ccc(Cl)cc12,NOCAS_871817,2.32
[H]C1=C([H])C([H])=C2C(=C1[H])N(C1=C([H])C(Cl)=C([H])C([H])=C1S2=O)C([H])([H])C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H],NOCAS_871817,2.32
c1cc2N(CCCN(C)C)c3cc(Cl)ccc3S(=O)c2cc1,NOCAS_871817,2.32
CN(C)CCCN1c2cc(Cl)ccc2S(=O)c2ccccc12,NOCAS_871817,2.32
CN(C)CCCN1C2=CC=CC=C2S(=O)C2=CC=C(Cl)C=C12,NOCAS_871817,2.32
CN(C)c1ccncc1,1122-58-3,1.34
CN(C)C1=CC=NC=C1,1122-58-3,1.34
[H]C1=NC([H])=C([H])C(=C1[H])N(C([H])([H])[H])C([H])([H])[H],1122-58-3,1.34
CN(C)c1cc[n]cc1,1122-58-3,1.34
OC(=C)C1=CC=CC=N1,1122-62-9,0.85
[H]OC(=C([H])[H])C1=NC([H])=C([H])C([H])=C1[H],1122-62-9,0.85
[H]C1=C([H])C([H])=C([H])C(=N1)C(=O)C([H])([H])[H],1122-62-9,0.85
CC(=O)C1=CC=CC=N1,1122-62-9,0.85
CC(=O)c1cccc[n]1,1122-62-9,0.85
CC(=O)c1ccccn1,1122-62-9,0.85
CCCc1ccncc1,1122-81-2,2.1
[H]C1=NC([H])=C([H])C(=C1[H])C([H])([H])C([H])([H])C([H])([H])[H],1122-81-2,2.1
CCCc1cc[n]cc1,1122-81-2,2.1
CCCC1=CC=NC=C1,1122-81-2,2.1
[O-][N+](=O)c1cc[n+]([O-])cc1,1124-33-0,-0.55
[O-][N+](=O)C1=CC=[N+]([O-])C=C1,1124-33-0,-0.55
O=N(=O)c(ccn(=O)c1)c1,1124-33-0,-0.55
O=N(=O)c1ccn(=O)cc1,1124-33-0,-0.55
[O-][n+]1ccc(cc1)[N+]([O-])=O,1124-33-0,-0.55
CCCC1=CC=C(C=C1)S(O)(=N)=O,1132-18-9,1.64
[H]N([H])S(=O)(=O)C1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])C([H])([H])C([H])([H])[H],1132-18-9,1.64
CCCC1=CC=C(C=C1)S(N)(=O)=O,1132-18-9,1.64
CCCc1ccc(cc1)S(=O)(=O)N,1132-18-9,1.64
CCCc1ccc(cc1)S(N)(=O)=O,1132-18-9,1.64
[H]OS(=O)(=N[H])C1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])C([H])([H])C([H])([H])[H],1132-18-9,1.64
COC(=O)c1ccc[nH]1,1193-62-0,1.17
[H]N1C([H])=C([H])C([H])=C1C(=O)OC([H])([H])[H],1193-62-0,1.17
COC(=O)C1=CC=CN1,1193-62-0,1.17
CC1=C2CC(=C(O)C1)C2(C)C,1196-01-6,2.23
[H]OC1=C2C([H])([H])C(=C(C([H])([H])[H])C1([H])[H])C2(C([H])([H])[H])C([H])([H])[H],1196-01-6,2.23
[H]OC1=C2C([H])([H])C([H])(C(=C([H])[H])C1([H])[H])C2(C([H])([H])[H])C([H])([H])[H],1196-01-6,2.23
CC1(C)[C@H]2CC1=C(O)CC2=C,1196-01-6,2.23
CC1(C)C2CC1=C(O)CC2=C,1196-01-6,2.23
[H]C([H])([H])C1=C2C([H])([H])C([H])(C(=O)C1([H])[H])C2(C([H])([H])[H])C([H])([H])[H],1196-01-6,2.23
CC1=C2C[C@H](C(=O)C1)C2(C)C,1196-01-6,2.23
CC1=C2CC(C(=O)C1)C2(C)C,1196-01-6,2.23
[H]OC1=C([H])C(=C2C([H])([H])C1([H])C2(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H],1196-01-6,2.23
CC1=C2C[C@H](C(O)=C1)C2(C)C,1196-01-6,2.23
CC1=C2CC(C(O)=C1)C2(C)C,1196-01-6,2.23
[H]OC1=C2C([H])([H])C([H])(C(=C1[H])C([H])([H])[H])C2(C([H])([H])[H])C([H])([H])[H],1196-01-6,2.23
CC1=CC(O)=C2C[C@@H]1C2(C)C,1196-01-6,2.23
CC1=CC(O)=C2CC1C2(C)C,1196-01-6,2.23
[H]C([H])=C1C([H])([H])C(=O)C2([H])C([H])([H])C1([H])C2(C([H])([H])[H])C([H])([H])[H],1196-01-6,2.23
CC1(C)[C@H]2C[C@@H]1C(=O)CC2=C,1196-01-6,2.23
CC1(C)C2CC1C(=O)CC2=C,1196-01-6,2.23
[H]OC1=C([H])C(=C([H])[H])C2([H])C([H])([H])C1([H])C2(C([H])([H])[H])C([H])([H])[H],1196-01-6,2.23
CC1(C)[C@@H]2C[C@H]1C(=C)C=C2O,1196-01-6,2.23
CC1(C)C2CC1C(=C)C=C2O,1196-01-6,2.23
[H]C1=C(C([H])([H])[H])C2([H])C([H])([H])C([H])(C1=O)C2(C([H])([H])[H])C([H])([H])[H],1196-01-6,2.23
CC1=CC(=O)[C@H]2C[C@@H]1C2(C)C,1196-01-6,2.23
CC1=CC(=O)C2CC1C2(C)C,1196-01-6,2.23
CS(=O)(=O)Nc1ccccc1,1197-22-4,0.95
[H]N(C1=C([H])C([H])=C([H])C([H])=C1[H])S(=O)(=O)C([H])([H])[H],1197-22-4,0.95
CS(=O)(=O)NC1=CC=CC=C1,1197-22-4,0.95
[H]OS(=O)(=NC1=C([H])C([H])=C([H])C([H])=C1[H])C([H])([H])[H],1197-22-4,0.95
CS(O)(=O)=NC1=CC=CC=C1,1197-22-4,0.95
[H]OS(=O)(=C([H])[H])N([H])C1=C([H])C([H])=C([H])C([H])=C1[H],1197-22-4,0.95
OS(=C)(=O)NC1=CC=CC=C1,1197-22-4,0.95
[H]OS(O[H])(=NC1=C([H])C([H])=C([H])C([H])=C1[H])=C([H])[H],1197-22-4,0.95
OS(O)(=C)=NC1=CC=CC=C1,1197-22-4,0.95
CC(=Cc1ccccc1)C(=O)O,NOCAS_870863,2.6
CC(=Cc1ccccc1)C(O)=O,NOCAS_870863,2.6
CC(=CC1=CC=CC=C1)C(O)=O,NOCAS_870863,2.6
[H]OC(=O)C(=C(\\[H])C1=C([H])C([H])=C([H])C([H])=C1[H])\\C([H])([H])[H],NOCAS_870863,2.6
CC(C(O)c1ccccc1)N(C)C,552-79-4,1.7
CC(C(O)C1=CC=CC=C1)N(C)C,552-79-4,1.7
[H]OC([H])(C1=C([H])C([H])=C([H])C([H])=C1[H])C([H])(N(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H],552-79-4,1.7
c1ccccc1C(O)C(C)N(C)C,552-79-4,1.7
CCCCC(CC)COP(=O)(Oc1ccccc1)Oc1ccccc1,1241-94-7,5.73
CCCCC(CC)COP(=O)(OC1=CC=CC=C1)OC1=CC=CC=C1,1241-94-7,5.73
[H]C1=C([H])C([H])=C(OP(=O)(OC2=C([H])C([H])=C([H])C([H])=C2[H])OC([H])([H])C([H])(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])=C1[H],1241-94-7,5.73
CCC(COP(=O)(Oc1ccccc1)Oc1ccccc1)CCCC,1241-94-7,5.73
CC1=CC=C(C=C1)S(=O)(=O)NC(O)=NN1CCCCC1,1443-94-3,1.34
[H]OC(=NN1C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])N([H])S(=O)(=O)C1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])[H],1443-94-3,1.34
[H]OC(=NS(=O)(=O)C1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])[H])N([H])N1C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],1443-94-3,1.34
CC1=CC=C(C=C1)S(=O)(=O)N=C(O)NN1CCCCC1,1443-94-3,1.34
[H]OC(=NN1C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])N=S(=O)(O[H])C1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])[H],1443-94-3,1.34
CC1=CC=C(C=C1)S(O)(=O)=NC(O)=NN1CCCCC1,1443-94-3,1.34
[H]N(N1C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C(=O)N([H])S(=O)(=O)C1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])[H],1443-94-3,1.34
CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN1CCCCC1,1443-94-3,1.34
Cc1ccc(cc1)S(=O)(=O)NC(=O)NN1CCCCC1,1443-94-3,1.34
[H]OS(=O)(=NC(=O)N([H])N1C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])[H],1443-94-3,1.34
CC1=CC=C(C=C1)S(O)(=O)=NC(=O)NN1CCCCC1,1443-94-3,1.34
CC1(C)NC(=N)N=C(N)N1C1=CC=C(F)C=C1,1542-59-2,0.37
[H]N=C1N([H])C(=N[H])N(C2=C([H])C([H])=C(F)C([H])=C2[H])C(N1[H])(C([H])([H])[H])C([H])([H])[H],1542-59-2,0.37
CC1(C)NC(=N)NC(=N)N1C1=CC=C(F)C=C1,1542-59-2,0.37
[H]N=C1N=C(N([H])[H])N([H])C(N1C1=C([H])C([H])=C(F)C([H])=C1[H])(C([H])([H])[H])C([H])([H])[H],1542-59-2,0.37
CC1(C)NC(N)=NC(=N)N1C1=CC=C(F)C=C1,1542-59-2,0.37
[H]N=C1N=C(N([H])[H])N(C2=C([H])C([H])=C(F)C([H])=C2[H])C(N1[H])(C([H])([H])[H])C([H])([H])[H],1542-59-2,0.37
[H]N=C1N([H])C(=NC(N1C1=C([H])C([H])=C(F)C([H])=C1[H])(C([H])([H])[H])C([H])([H])[H])N([H])[H],1542-59-2,0.37
CC1(C)N=C(N)NC(=N)N1C1=CC=C(F)C=C1,1542-59-2,0.37
[H]N([H])C1=NC(N(C(=N1)N([H])[H])C1=C([H])C([H])=C(F)C([H])=C1[H])(C([H])([H])[H])C([H])([H])[H],1542-59-2,0.37
CC1(C)N=C(N)N=C(N)N1C1=CC=C(F)C=C1,1542-59-2,0.37
CC1(C)N=C(N)N=C(N)N1c1ccc(F)cc1,1542-59-2,0.37
NS(=O)(=O)C1=CC=CC(=C1)C(O)=N,1576-42-7,-0.84
[H]N([H])C(=O)C1=C([H])C(=C([H])C([H])=C1[H])S(=O)(=O)N([H])[H],1576-42-7,-0.84
NC(=O)C1=CC(=CC=C1)S(N)(=O)=O,1576-42-7,-0.84
NC(=O)c1cc(ccc1)S(=O)(=O)N,1576-42-7,-0.84
NC(=O)c1cc(ccc1)S(N)(=O)=O,1576-42-7,-0.84
[H]OC(=N[H])C1=C([H])C(=C([H])C([H])=C1[H])S(=O)(=O)N([H])[H],1576-42-7,-0.84
[H]OS(=O)(=N[H])C1=C([H])C([H])=C([H])C(=C1[H])C(=O)N([H])[H],1576-42-7,-0.84
NC(=O)C1=CC(=CC=C1)S(O)(=N)=O,1576-42-7,-0.84
OC(=N)C1=CC(=CC=C1)S(O)(=N)=O,1576-42-7,-0.84
[H]OC(=N[H])C1=C([H])C(=C([H])C([H])=C1[H])S(=O)(O[H])=N[H],1576-42-7,-0.84
CC1=CC=C(N)N=C1,1603-41-4,1.02
[H]N([H])C1=NC([H])=C(C([H])=C1[H])C([H])([H])[H],1603-41-4,1.02
Cc1ccc(N)[n]c1,1603-41-4,1.02
Cc1ccc(N)nc1,1603-41-4,1.02
[H]N=C1N([H])C([H])=C(C([H])=C1[H])C([H])([H])[H],1603-41-4,1.02
CC1=CNC(=N)C=C1,1603-41-4,1.02
CC(=O)Oc1ccccc1C(C)C,1608-68-0,2.78
[H]C1=C([H])C([H])=C(C(OC(=O)C([H])([H])[H])=C1[H])C([H])(C([H])([H])[H])C([H])([H])[H],1608-68-0,2.78
CC(C)c1ccccc1OC(C)=O,1608-68-0,2.78
CC(C)C1=CC=CC=C1OC(C)=O,1608-68-0,2.78
COC(C)(C)C,1634-04-4,0.94
[H]C([H])([H])OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],1634-04-4,0.94
Cn1ccnc1[N+]([O-])=O,1671-82-5,-0.17
[H]C1=C([H])N(C(=N1)[N+]([O-])=O)C([H])([H])[H],1671-82-5,-0.17
C[n]1cc[n]c1[N+]([O-])=O,1671-82-5,-0.17
Cn1ccnc1[N+](=O)[O-],1671-82-5,-0.17
CN1C=CN=C1[N+]([O-])=O,1671-82-5,-0.17
C[C@]12CC[C@H](O)C[C@H]1CC[C@@H]1[C@@H]2C[C@@H](O)[C@]2(C)[C@H](CC[C@]12O)C1=CC(=O)OC1,1672-46-4,1.1
[H]OC1([H])C([H])([H])C([H])([H])C2(C([H])([H])[H])C([H])(C([H])([H])C([H])([H])C3([H])C2([H])C([H])([H])C([H])(O[H])C2(C([H])([H])[H])C([H])(C4=C([H])C(=O)OC4([H])[H])C([H])([H])C([H])([H])C32O[H])C1([H])[H],1672-46-4,1.1
C[C@@]12[C@H](CC[C@]1(O)[C@@H]1CC[C@@H]3C[C@@H](O)CC[C@]3(C)[C@H]1C[C@H]2O)C1=CC(=O)OC1,1672-46-4,1.1
C[C@]12CC[C@H](O)C[C@H]1CC[C@@H]1[C@@H]2C[C@@H](O)[C@]2(C)[C@H](CC[C@@]21O)C1COC(=O)C=1,1672-46-4,1.1
CC12C(CCC1(O)C1CCC3CC(O)CCC3(C)C1CC2O)C1=CC(=O)OC1,1672-46-4,1.1
CC12CCC(O)CC1CCC1C2CC(O)C2(C)C(CCC21O)C1COC(=O)C=1,1672-46-4,1.1
CCC1CCCCC1,1678-91-7,4.56
[H]C([H])([H])C([H])([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],1678-91-7,4.56
CC1(C)OC(=O)c2ccccc12,1689-09-4,1.73
[H]C1=C([H])C([H])=C2C(=C1[H])C(=O)OC2(C([H])([H])[H])C([H])([H])[H],1689-09-4,1.73
CC1(C)OC(=O)C2=CC=CC=C12,1689-09-4,1.73
Clc1cnn(-c2ccccc2)c(=O)c1Cl,1698-53-9,2.09
ClC1=C(Cl)C(=O)N(N=C1)C1=CC=CC=C1,1698-53-9,2.09
[H]C1=C([H])C([H])=C(C([H])=C1[H])N1N=C([H])C(Cl)=C(Cl)C1=O,1698-53-9,2.09
ClC1=C(Cl)C(=O)N(N=C1)c1ccccc1,1698-53-9,2.09
O=C1C(Cl)=C(Cl)C=NN1c1ccccc1,1698-53-9,2.09
O=c1c(Cl)c(Cl)cnn1c1ccccc1,1698-53-9,2.09
COC(=O)CCCCCC(=O)OC,1732-08-7,1.38
[H]C([H])([H])OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)OC([H])([H])[H],1732-08-7,1.38
CSc1cccc(N)c1,1783-81-9,1.45
[H]N([H])C1=C([H])C(SC([H])([H])[H])=C([H])C([H])=C1[H],1783-81-9,1.45
CSC1=CC=CC(N)=C1,1783-81-9,1.45
OS(=N)(=O)C1=C(Cl)C=C2NC(CCl)NS(=O)(=O)C2=C1,1824-47-1,0.11
[H]OS1([H])(O[H])=NC(=NC2=C1C([H])=C(C(Cl)=C2[H])S(=O)(=O)N([H])[H])C([H])([H])Cl,1824-47-1,0.11
NS(=O)(=O)C1=C(Cl)C=C2N=C(CCl)N=S(O)(O)C2=C1,1824-47-1,0.11
[H]OS1([H])(O[H])=C2C([H])=C(C(Cl)=C([H])C2=NC(=N1)C([H])([H])Cl)S(=O)(=O)N([H])[H],1824-47-1,0.11
NS(=O)(=O)C1=CC2=S(O)(O)N=C(CCl)N=C2C=C1Cl,1824-47-1,0.11
[H]OS(=O)(=N[H])C1=C([H])C2=C(N=C(N=S2([H])(O[H])O[H])C([H])([H])Cl)C([H])=C1Cl,1824-47-1,0.11
[H]OS(=O)(=N[H])C1=C([H])C2=S([H])(O[H])(O[H])N=C(N=C2C([H])=C1Cl)C([H])([H])Cl,1824-47-1,0.11
OS1(O)=C2C=C(C(Cl)=CC2=NC(CCl)=N1)S(O)(=N)=O,1824-47-1,0.11
[H]N([H])S(=O)(=O)C1=C([H])C2=C(N([H])C([H])(N([H])S2(=O)=O)C([H])([H])Cl)C([H])=C1Cl,1824-47-1,0.11
NS(=O)(=O)c1c(Cl)cc2NC(CCl)NS(=O)(=O)c2c1,1824-47-1,0.11
NS(=O)(=O)c1cc2c(cc1Cl)NC(CCl)NS2(=O)=O,1824-47-1,0.11
[H]OS(=O)(=N[H])C1=C([H])C2=C(N([H])C([H])(N([H])S2(=O)=O)C([H])([H])Cl)C([H])=C1Cl,1824-47-1,0.11
OS(=N)(=O)C1=CC2=C(NC(CCl)NS2(=O)=O)C=C1Cl,1824-47-1,0.11
[H]OS1(=O)=NC([H])(N([H])C2=C1C([H])=C(C(Cl)=C2[H])S(=O)(=O)N([H])[H])C([H])([H])Cl,1824-47-1,0.11
NS(=O)(=O)C1=C(Cl)C=C2NC(CCl)N=S(O)(=O)C2=C1,1824-47-1,0.11
NS(=O)(=O)C1=CC2=C(NC(CCl)N=S2(O)=O)C=C1Cl,1824-47-1,0.11
[H]OS1([H])(=O)N([H])C(N([H])C2=C1C([H])=C(C(Cl)=C2[H])S(=O)(=O)N([H])[H])=C([H])Cl,1824-47-1,0.11
[H]OS1([H])(=O)N=C(N([H])C2=C1C([H])=C(C(Cl)=C2[H])S(=O)(=O)N([H])[H])C([H])([H])Cl,1824-47-1,0.11
NS(=O)(=O)C1=C(Cl)C=C2NC(CCl)=NS(O)(=O)C2=C1,1824-47-1,0.11
NS(=O)(=O)C1=CC2=C(NC(CCl)=NS2(O)=O)C=C1Cl,1824-47-1,0.11
[H]OS(=O)(=N[H])C1=C([H])C2=C(N([H])C([H])(N=S2(=O)O[H])C([H])([H])Cl)C([H])=C1Cl,1824-47-1,0.11
OS(=N)(=O)C1=C(Cl)C=C2NC(CCl)N=S(O)(=O)C2=C1,1824-47-1,0.11
OS(=N)(=O)C1=CC2=C(NC(CCl)N=S2(O)=O)C=C1Cl,1824-47-1,0.11
[H]OS1([H])(=O)N([H])C(=NC2=C1C([H])=C(C(Cl)=C2[H])S(=O)(=O)N([H])[H])C([H])([H])Cl,1824-47-1,0.11
NS(=O)(=O)C1=C(Cl)C=C2N=C(CCl)NS(O)(=O)C2=C1,1824-47-1,0.11
[H]OS(=O)(=N[H])C1=C([H])C2=C(N([H])C(N([H])S2([H])(=O)O[H])=C([H])Cl)C([H])=C1Cl,1824-47-1,0.11
[H]OS(=O)(=N[H])C1=C([H])C2=C(N([H])C(=NS2([H])(=O)O[H])C([H])([H])Cl)C([H])=C1Cl,1824-47-1,0.11
OS1(=O)N=C(CCl)NC2=CC(Cl)=C(C=C12)S(O)(=N)=O,1824-47-1,0.11
[H]OS1([H])(O[H])=NC(N([H])C2=C1C([H])=C(C(Cl)=C2[H])S(=O)(=O)N([H])[H])=C([H])Cl,1824-47-1,0.11
NS(=O)(=O)C1=C(Cl)C=C2NC(=CCl)N=S(O)(O)C2=C1,1824-47-1,0.11
[H]OS(=O)(=N[H])C1=C([H])C2=C(N=C(N([H])S2([H])(=O)O[H])C([H])([H])Cl)C([H])=C1Cl,1824-47-1,0.11
OS1(=O)NC(CCl)=NC2=CC(Cl)=C(C=C12)S(O)(=N)=O,1824-47-1,0.11
[H]OS(=O)(=N[H])C1=C([H])C2=C(N([H])C(N=S2([H])(O[H])O[H])=C([H])Cl)C([H])=C1Cl,1824-47-1,0.11
OS1(O)=NC(NC2=CC(Cl)=C(C=C12)S(O)(=N)=O)=CCl,1824-47-1,0.11
[H]OS1(=O)=C2C([H])=C(C(Cl)=C([H])C2=NC([H])(N1[H])C([H])([H])Cl)S(=O)(=O)N([H])[H],1824-47-1,0.11
NS(=O)(=O)C1=CC2=S(O)(=O)NC(CCl)N=C2C=C1Cl,1824-47-1,0.11
OS(=N)(=O)C1=CC2=S(O)(=O)NC(CCl)N=C2C=C1Cl,1824-47-1,0.11
[H]OS(=O)(=N[H])C1=C([H])C2=S(=O)(O[H])N([H])C([H])(N=C2C([H])=C1Cl)C([H])([H])Cl,1824-47-1,0.11
[H]OS1([H])(O[H])=C2C([H])=C(C(Cl)=C([H])C2=NC(N1[H])=C([H])Cl)S(=O)(=O)N([H])[H],1824-47-1,0.11
[H]OS=1(O[H])=C2C([H])=C(C(Cl)=C([H])C2=NC([H])(N=1)C([H])([H])Cl)S(=O)(=O)N([H])[H],1824-47-1,0.11
NS(=O)(=O)C1=CC2=S(O)(O)=NC(CCl)N=C2C=C1Cl,1824-47-1,0.11
[H]OS(=O)(=N[H])C1=C([H])C2=S([H])(O[H])(O[H])N([H])C(N=C2C([H])=C1Cl)=C([H])Cl,1824-47-1,0.11
